chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
ortigas,greenhills,906,658,"shop (532), dining (222), bank (15)",Greenhills,metro-manila,313
sm,sm-city-north-edsa,868,820,"dining (272), shopping (218), cyberzone (156)",SM City North Edsa,metro-manila,131
filinvest,festival-mall,784,737,"dining (122), health, beauty and wellness (101), dining / food (kiosk / carts) (93)",Festival Mall,metro-manila,267
sm,sm-city-fairview,739,703,"dining (224), shopping (183), cyberzone (120)",SM City Fairview,metro-manila,79
sm,sm-megamall,692,669,"shopping (224), dining (187), cyberzone (102)",SM Megamall,metro-manila,105
sm,sm-mall-of-asia,686,679,"dining (209), shopping (203), cyberzone (114)",SM Mall of Asia,metro-manila,91
robinsons,robinsons-manila,659,576,,Robinsons Place Manila,metro-manila,129
sm,sm-city-santa-rosa,537,403,"dining (146), shopping (103), undefined (100)",SM City Santa Rosa,south-luzon,33
sm,sm-city-pampanga,515,475,"dining (187), shopping (123), cyberzone (84)",SM City Pampanga,north-luzon,55
sm,sm-city-cebu,497,480,"shopping (143), dining (135), cyberzone (92)",SM City Cebu,visayas,60
ayala,ayala-market-market,495,438,"shop (250), dine (146), services (52)",Market! Market!,metro-manila,119
sm,sm-city-clark,434,431,"dining (161), shopping (110), cyberzone (71)",SM City Clark,north-luzon,49
robinsons,robinsons-magnolia,425,416,,Robinsons Magnolia,metro-manila,95
ayala,ayala-center-cebu,409,381,"shop (215), dine (117), services (38)",Ayala Center Cebu,visayas,64
robinsons,robinsons-galleria-ortigas,396,386,,Robinsons Galleria,metro-manila,90
ayala,ayala-glorietta,396,371,"shop (246), dine (80), services (38)",Glorietta,metro-manila,47
ayala,ayala-trinoma,391,366,"shop (221), dine (102), services (32)",Trinoma,metro-manila,29
sm,sm-seaside-city-cebu,376,373,"shopping (117), dining (116), cyberzone (42)",SM Seaside City Cebu,visayas,43
sm,sm-city-dasmarinas,361,354,"dining (116), shopping (101), cyberzone (53)",SM City Dasmariñas,south-luzon,20
sm,sm-city-davao,360,355,"dining (104), shopping (103), cyberzone (61)",SM City Davao,mindanao,55
ayala,ayala-manila-bay,357,339,"shop (181), dine (107), services (34)",Ayala Malls Manila Bay,metro-manila,32
sm,sm-city-baguio,354,349,"dining (136), shopping (101), cyberzone (45)",SM City Baguio,north-luzon,47
sm,sm-city-iloilo,352,342,"shopping (106), dining (104), cyberzone (59)",SM City Iloilo,visayas,50
sm,sm-southmall,345,342,"dining (109), shopping (94), cyberzone (49)",SM Southmall,metro-manila,21
sm,sm-city-bacolod,330,319,"shopping (106), dining (98), cyberzone (59)",SM City Bacolod,visayas,47
sm,sm-city-manila,314,311,"dining (107), shopping (68), cyberzone (48)",SM City Manila,metro-manila,21
robinsons,robinsons-antipolo,311,295,,Robinsons Place Antipolo,metro-manila,57
ayala,ayala-abreeza,307,286,"shop (165), dine (67), services (38)",Abreeza,mindanao,42
megaworld,venice-grand-canal-mall,304,286,"dine (121), shop (91), services (90)",Venice Grand Canal Mall,metro-manila,77
ortigas,estancia,301,243,"shop (134), dining (111), bank (5)",Estancia,metro-manila,83
sm,sm-city-sucat,298,298,"dining (109), shopping (54), cyberzone (52)",SM City Sucat,metro-manila,19
sm,sm-city-bicutan,290,287,"dining (124), shopping (47), cyberzone (45)",SM City Bicutan,metro-manila,12
sm,sm-city-san-lazaro,290,290,"dining (104), shopping (75), cyberzone (49)",SM City San Lazaro,metro-manila,11
sm,sm-city-bacoor,276,275,"dining (94), shopping (59), cyberzone (58)",SM City Bacoor,south-luzon,7
ayala,ayala-capitol-central,275,196,"shop (125), dine (90), services (27)",Ayala Malls Capitol Central,visayas,42
sm,sm-city-lipa,262,262,"dining (95), shopping (77), cyberzone (43)",SM City Lipa,south-luzon,12
sm,sm-city-cabanatuan,259,259,"dining (74), shopping (64), cyberzone (62)",SM City Cabanatuan,north-luzon,16
sm,sm-lanang,257,254,"dining (79), shopping (70), cyberzone (45)",SM Lanang,mindanao,36
ayala,ayala-up-town-center,253,219,"shop (108), dine (92), services (27)",U. P. Town Center,metro-manila,16
ayala,ayala-marquee,251,241,"shop (125), dine (73), services (32)",MarQuee Mall,north-luzon,30
robinsons,robinsons-tacloban,246,227,,Robinsons Place Tacloban,visayas,71
robinsons,robinsons-novaliches,245,219,,Robinsons Novaliches,metro-manila,112
sm,sm-city-marilao,242,240,"dining (86), shopping (55), cyberzone (52)",SM City Marilao,north-luzon,15
megaworld,uptown-mall,242,241,"shop (113), dine (91), services (38)",Uptown Mall,metro-manila,42
sm,sm-city-grand-central,240,240,"dining (99), shopping (49), cyberzone (43)",SM City Grand Central,metro-manila,10
sm,sm-city-batangas,236,236,"dining (79), shopping (63), cyberzone (46)",SM City Batangas,south-luzon,12
ayala,ayala-feliz,235,230,"shop (95), dine (86), services (30)",Ayala Malls Feliz,metro-manila,18
robinsons,robinsons-ilocos,232,221,,Robinsons Place Ilocos,north-luzon,63
ayala,ayala-greenbelt,232,222,"shop (160), dine (51), services (11)",Greenbelt,metro-manila,81
robinsons,galleria-south,231,209,,Robinsons Galleria South,south-luzon,40
sm,sm-cdo-downtown,229,229,"dining (71), shopping (58), cyberzone (32)",SM CDO Downtown Premier,mindanao,37
sm,sm-city-calamba,228,226,"dining (75), cyberzone (55), shopping (48)",SM City Calamba,south-luzon,9
sm,sm-city-baliwag,228,228,"dining (91), cyberzone (48), shopping (44)",SM City Baliwag,north-luzon,13
robinsons,robinsons-iligan,225,213,,Robinsons Place Iligan,mindanao,68
robinsons,robinsons-galleria-cebu,222,203,,Robinsons Galleria Cebu,visayas,69
sm,sm-city-lucena,221,221,"dining (60), shopping (58), cyberzone (52)",SM City Lucena,south-luzon,24
robinsons,robinsons-malolos,218,215,,Robinsons Place Malolos,north-luzon,38
ayala,ayala-centrio,217,211,"shop (129), dine (52), services (20)",Centrio Mall,mindanao,30
ayala,ayala-solenad,213,191,"shop (86), dine (75), essentials (28)",Ayala Malls Nuvali,south-luzon,33
sm,sm-city-legazpi,207,200,"dining (72), shopping (49), cyberzone (37)",SM City Legazpi,south-luzon,16
robinsons,robinsons-dasmarinas,205,185,,Robinsons Place Dasmarinas,south-luzon,59
robinsons,robinsons-metro-east,205,196,,Robinsons Metro East,metro-manila,68
robinsons,robinsons-imus,204,171,,Robinsons Place Imus,south-luzon,47
robinsons,robinsons-palawan,202,173,,Robinsons Place Palawan,south-luzon,69
robinsons,robinsons-santiago,199,195,,Robinsons Place Santiago,north-luzon,52
robinsons,robinsons-tuguegarao,199,192,,Robinsons Place Tuguegarao,north-luzon,50
sm,sm-city-la-union,199,199,"undefined (107), dining (82), shopping (4)",SM City La Union,north-luzon,30
fishermall,quezonave,195,189,,Fisher Mall Quezon Avenue,metro-manila,59
sm,sm-aura,195,194,"shopping (76), dining (51), wellness (18)",SM Aura,metro-manila,24
robinsons,robinsons-iloilo,194,178,,Robinsons Place Iloilo,visayas,49
megaworld,lucky-chinatown-mall,192,192,"shop (91), dine (68), services (32)",Lucky Chinatown Mall,metro-manila,33
sm,sm-city-sta-mesa,191,191,"dining (71), cyberzone (44), shopping (30)",SM City Sta. Mesa,metro-manila,12
sm,sm-city-general-santos,188,184,"dining (63), shopping (49), cyberzone (41)",SM City General Santos,mindanao,28
ayala,ayala-circuit,188,156,"dine (69), shop (51), services (31)",Ayala Malls Circuit,metro-manila,23
sm,sm-city-tanza,187,187,"dining (69), cyberzone (34), shopping (33)",SM City Tanza,south-luzon,6
sm,sm-city-tuguegarao,187,187,"dining (64), shopping (37), cyberzone (35)",SM City Tuguegarao,north-luzon,22
sm,sm-city-olongapo-central,185,184,"dining (70), shopping (40), cyberzone (30)",SM City Olongapo Central,north-luzon,9
sm,sm-city-rosales,184,183,"dining (61), cyberzone (45), shopping (42)",SM City Rosales,north-luzon,11
ayala,ayala-fairview-mall,184,172,"dine (68), shop (66), essentials (29)",Fairview Terraces,metro-manila,14
robinsons,robinsons-lipa,181,167,,Robinsons Place Lipa,south-luzon,46
sm,sm-city-marikina,180,179,"dining (63), shopping (32), cyberzone (27)",SM City Marikina,metro-manila,3
robinsons,robinsons-dumaguete,180,156,,Robinsons Place Dumaguete,visayas,39
sm,sm-city-molino,179,175,"dining (55), cyberzone (44), shopping (32)",SM City Molino,south-luzon,6
robinsons,robinsons-naga,174,166,,Robinsons Place Naga,south-luzon,46
sm,sm-city-trece-martires,174,174,"dining (65), cyberzone (42), shopping (28)",SM City Trece Martires,south-luzon,16
sm,sm-city-naga,172,172,"dining (67), shopping (44), cyberzone (32)",SM City Naga,south-luzon,19
sm,sm-city-urdaneta-central,172,172,"dining (55), cyberzone (42), shopping (35)",SM City Urdaneta Central,north-luzon,17
robinsons,robinsons-gentrias,169,157,,Robinsons Place Gen. Trias,south-luzon,30
sm,sm-city-san-pablo,166,166,"dining (49), shopping (43), cyberzone (42)",SM City San Pablo,south-luzon,5
sm,sm-city-san-jose-del-monte,163,163,"dining (54), cyberzone (39), shopping (30)",SM City San Jose Del Monte,north-luzon,7
ayala,one-ayala-mall,162,156,"shop (72), dine (68), essentials (13)",One Ayala,metro-manila,9
megaworld,newport-city,162,153,"shop (60), dine (57), services (45)",Newport City,metro-manila,48
sm,the-podium,161,160,"dining (52), shopping (41), wellness (29)",The Podium,metro-manila,47
megaworld,eastwood-mall,161,158,"shop (81), dine (45), services (35)",Eastwood Mall,metro-manila,26
sm,sm-city-taytay,161,160,"dining (56), cyberzone (32), shopping (31)",SM City Taytay,metro-manila,6
sm,sm-city-caloocan,160,152,"dining (53), cyberzone (29), shopping (28)",SM City Caloocan,metro-manila,7
sm,sm-city-consolacion,160,159,"dining (54), cyberzone (33), shopping (24)",SM City Consolacion,visayas,24
sm,sm-city-novaliches,158,154,"dining (48), cyberzone (36), shopping (24)",SM City Novaliches,metro-manila,16
sm,sm-city-cauayan,157,154,"dining (51), shopping (37), cyberzone (33)",SM City Cauayan,north-luzon,15
robinsons,robinsons-gapan,157,147,,Robinsons Gapan,north-luzon,39
ayala,ayala-malls-central-bloc,157,154,"shop (66), dine (52), services (19)",Ayala Malls Central Bloc,visayas,21
sm,sm-city-sorsogon,156,151,"dining (61), shopping (29), cyberzone (21)",SM City Sorsogon,south-luzon,18
megaworld,festive-walk-mall-iloilo,154,152,"shop (65), dine (51), services (38)",Festive Walk Mall,visayas,39
sm,sm-city-butuan,152,151,"dining (52), shopping (43), cyberzone (28)",SM City Butuan,mindanao,27
sm,sm-city-tarlac,152,150,"dining (50), shopping (35), cyberzone (35)",SM City Tarlac,north-luzon,7
sm,sm-city-valenzuela,149,149,"dining (52), cyberzone (31), shopping (29)",SM City Valenzuela,metro-manila,3
ayala,ayala-vertis,148,137,"shop (58), dine (57), services (15)",Ayala Malls Vertis North,metro-manila,14
robinsons,robinsons-starmills,147,144,,Robinsons Starmills,north-luzon,51
fishermall,malabon,147,147,,Fisher Mall Malabon,metro-manila,32
robinsons,robinsons-pagadian,146,142,,Robinsons Pagadian,mindanao,49
sm,sm-city-masinag,145,145,"dining (46), cyberzone (30), shopping (26)",SM City Masinag,metro-manila,11
sm,sm-city-san-mateo,145,145,"dining (47), cyberzone (39), shopping (22)",SM City San Mateo,metro-manila,7
sm,sm-city-bataan,145,145,"dining (60), shopping (32), cyberzone (24)",SM City Bataan,north-luzon,7
sm,sm-city-sto-tomas,144,144,"dining (49), cyberzone (34), shopping (29)",SM City Sto. Tomas,south-luzon,6
sm,sm-city-laoag,144,144,"dining (50), cyberzone (34), shopping (26)",SM City Laoag,north-luzon,14
ayala,ayala-harbor-point,144,138,"shop (73), dine (41), essentials (15)",Harbor Point,north-luzon,20
robinsons,robinsons-pangasinan,143,142,,Robinsons Place Pangasinan,north-luzon,33
robinsons,robinsons-butuan,142,136,,Robinsons Place Butuan,mindanao,39
robinsons,robinsons-valencia,142,136,,Robinsons Place Valencia,mindanao,41
megaworld,southwoods-mall,141,141,"shop (52), services (46), dine (43)",Southwoods Mall,south-luzon,37
sm,sm-city-cagayan-de-oro,140,140,"dining (44), cyberzone (27), shopping (25)",SM City CDO Uptown,mindanao,38
sm,sm-city-east-ortigas,139,138,"dining (53), shopping (35), wellness (17)",SM City East Ortigas,metro-manila,5
sm,sm-city-puerto-princesa,137,137,"shopping (40), cyberzone (40), dining (32)",SM City Puerto Princesa,south-luzon,19
robinsons,robinsons-la-union,134,127,,Robinsons Place La Union,north-luzon,32
sm,sm-center-lemery,132,122,"shopping (34), cyberzone (31), dining (29)",SM Center Lemery,south-luzon,8
sm,sm-city-mindpro,128,128,"shopping (41), dining (39), cyberzone (26)",SM City Mindpro,mindanao,25
sm,sm-city-telabastagan,127,127,"dining (52), shopping (29), cyberzone (18)",SM City Telabastagan,north-luzon,3
ayala,ayala-cloverleaf,126,121,"dine (64), shop (29), services (15)",Ayala Malls Cloverleaf,metro-manila,7
robinsons,robinsons-ormoc,124,119,,Robinsons Place Ormoc,visayas,74
sm,sm-city-roxas,122,122,"dining (35), shopping (31), cyberzone (18)",SM City Roxas,visayas,15
robinsons,opus,120,119,,Opus Mall,metro-manila,61
waltermart,north-edsa,117,117,"food choices (66), shops (21), cybermart (13)",WalterMart North EDSA,metro-manila,9
sm,sm-city-daet,114,113,"dining (41), shopping (27), cyberzone (22)",SM City Daet,south-luzon,11
